Type;Name;Version;purl;Supplier;Website;Source;Description;Licenses;Direct Dependency of;SHA-512 Hash;BomRef;End of support date;Life cycle support
library;abseil-cpp;20240116.3;pkg:generic/abseil-cpp@20240116.3;Google;https://abseil.io/;https://github.com/abseil/abseil-cpp;Abseil provides pieces missing from the C++ standard. Contains additional useful libraries like algorithm, container, debugging, hash, memory, meta, numeric, strings, synchronization, time, types and utility.;Apache-2.0;"grpc@1.60.1 ; protobuf@4.25.8 ; re2@2024.03.01";;08e3353d-7d67-4752-98a3-29f005e9e317;Not yet defined;Supported
library;acl;2.3.2;pkg:generic/acl@2.3.2;savannah;https://savannah.nongnu.org/projects/acl/;https://savannah.nongnu.org/projects/acl/;ACL allows you to provide different levels of access to files and folders for different users.;LGPL-2.1-or-later & GPL-2.0-or-later;"logrotate@3.21.0 ; systemd@255.21";;42590ef0-da66-443e-9951-cf42470bbe7c;Not yet defined;Supported
library;adwaita-icon-theme;45.0;pkg:generic/adwaita-icon-theme@45.0;GNOME Project;https://gitlab.gnome.org/GNOME/adwaita-icon-theme;https://gitlab.gnome.org/GNOME/adwaita-icon-theme;The Adwaita icon theme is the default icon theme of the GNOME desktop This package package contains an icon theme for Gtk+ 3 applications.;LGPL-3.0-only | CC-BY-SA-3.0;;;e8a71ac5-1629-4913-bf40-62f6d4efd30a;Not yet defined;Supported
library;at-spi2-core;2.50.1;pkg:generic/at-spi2-core@2.50.1;GNOME Project;https://wiki.linuxfoundation.org/accessibility/d-bus;"http://git.codethink.co.uk/?p=atspi-dbus;a=summary";It provides a Service Provider Interface for the Assistive Technologies available on the GNOME platform and a library against which applications can be linked.;LGPL-2.1-or-later;;;e84a470b-3faf-48ee-897c-85f08c9855d7;Not yet defined;Supported
library;attr;2.5.1;pkg:generic/attr@2.5.1;savannah;https://savannah.nongnu.org/projects/attr/;https://savannah.nongnu.org/projects/attr/;Implement the ability for a user to attach name:value pairs to objects within the XFS filesystem.;LGPL-2.1-or-later & GPL-2.0-or-later;"acl@2.3.2 ; e2fsprogs@1.47.0 ; shadow@4.14.2";;8195dce0-4572-4a77-a873-8226ba09ffc1;Not yet defined;Supported
library;python/attrs;23.2.0;pkg:generic/python/attrs@23.2.0;python-attrs project;https://www.attrs.org/;https://www.attrs.org/;Classes Without Boilerplate.;MIT;python/jsonschema@4.21.1;;6c99cce0-9854-44bd-9303-c93b701e2235;Not yet defined;Supported
library;base-files;3.0.14;pkg:generic/base-files@3.0.14;Yocto Project / OpenEmbedded;https://www.yoctoproject.org/;https://git.yoctoproject.org/poky/log/?h=scarthgap;The base-files package creates the basic system directory structure and provides a small set of key configuration files for the system.;GPL-2.0-only;"bash@5.2.21 ; cyrus-sasl@2.1.28 ; freedesktop/dbus@1.14.10 ; d-bus_project/d-bus@1.14.10 ; dhcpcd@10.0.6 ; freedesktop/libdbus@1.14.10 ; mongodb@4.4.29 ; nginx@1.24.0 ; qsboost-asat@git ; qsboost-authservice@git ; qsboost-bts@git ; qsboost-core@git ; qsboost-das@git ; qsboost-db@git ; qsboost-ftu@git ; qsboost-instrument-configuration@git ; qsboost-logger@git ; qsboost-lua-proxy@git ; qsboost-qiaidentity-proxy@git ; qsboost-rfg@git ; qsboost-spcu@git ; qsboost-ui@git ; seatd@0.8.0 ; systemd@255.21 ; tdx-enc-handler@1.0 ; weston@12.0.4.imx ; weston-init@1.0";;666dbecc-b3b5-4772-a4e9-6d1345e34f59;Not yet defined;Supported
library;base-passwd;3.6.3;pkg:generic/base-passwd@3.6.3;Debian Project;https://packages.debian.org/base-passwd;https://packages.debian.org/base-passwd;The master copies of the user database files (/etc/passwd and /etc/group). The update-passwd tool is also provided to keep the system databases synchronized with these master files.;GPL-2.0-only;"cyrus-sasl@2.1.28 ; freedesktop/dbus@1.14.10 ; d-bus_project/d-bus@1.14.10 ; dhcpcd@10.0.6 ; freedesktop/libdbus@1.14.10 ; mongodb@4.4.29 ; nginx@1.24.0 ; qsboost-asat@git ; qsboost-authservice@git ; qsboost-bts@git ; qsboost-core@git ; qsboost-das@git ; qsboost-db@git ; qsboost-ftu@git ; qsboost-instrument-configuration@git ; qsboost-logger@git ; qsboost-lua-proxy@git ; qsboost-qiaidentity-proxy@git ; qsboost-rfg@git ; qsboost-spcu@git ; qsboost-ui@git ; seatd@0.8.0 ; shadow@4.14.2 ; systemd@255.21 ; tdx-enc-handler@1.0 ; weston@12.0.4.imx ; weston-init@1.0";;ba93beaf-a2e9-4eb7-bbd8-4310f256f0d2;Not yet defined;Supported
library;bash;5.2.21;pkg:generic/bash@5.2.21;GNU Project (FSF);https://www.gnu.org/software/bash/;https://github.com/gitGNU/gnu_bash;Bash is the GNU Project's Bourne Again SHell, a complete implementation of the IEEE POSIX and Open Group shell specification with interactive command line editing, job control on architectures that support it, csh-like features such as history substitution and brace expansion, and a slew of other features.;GPL-3.0-or-later;"google/chrome@129.0.6668.100 ; chromium/chromium@129.0.6668.100 ; encrypted-coredump@1.0 ; lvm2@2.03.22 ; opkg-utils@0.6.3 ; pm-utils@1.4.1 ; qiaidentity@3.0.0.3 ; qn-hybrid-crypt@1.0 ; weston-init@1.0";;d3b93a11-c61f-44ad-8390-09cf332e62a7;Not yet defined;Supported
library;python/beniget;0.4.2.post1;pkg:generic/python/beniget@0.4.2.post1;Serge Sans Paille;https://github.com/serge-sans-paille/beniget;https://github.com/serge-sans-paille/beniget;A static analyzer for Python2 and Python3 code.;BSD-3-Clause;python/pythran@0.16.1;;ce6c78db-ccd2-4607-b460-e45dd8f82061;Not yet defined;Supported
library;berkeley_db;11.2.5.3.28;pkg:generic/berkeley_db@11.2.5.3.28;Oracle;https://www.oracle.com/database/technologies/related/berkeleydb.html;https://github.com/berkeleydb/libdb;Provides the foundational storage services for your application, no matter how demanding and unique your requirements may seem to be;Sleepycat;cyrus-sasl@2.1.28;;4f0c3285-8407-4aa3-b20f-50bc35c08495;Not yet defined;Supported
library;binutils;2.42;pkg:generic/binutils@2.42;GNU Project (FSF);http://www.gnu.org/software/binutils/;https://github.com/gittup/binutils;The GNU Binutils are a collection of binary tools. The main ones are ld (GNU Linker), and as (GNU Assembler). This package also includes addition tools such as addr2line (Converts addresses into filenames and line numbers), ar (utility for creating, modifying and extracting archives), nm (list symbols in object files), objcopy (copy and translate object files), objdump (Display object information), and other tools and related libraries.;GPL-3.0-only;gperftools@2.15;;940d5508-2933-4e75-a17e-368b9ae0db76;Not yet defined;Supported
library;python/blinker;1.7.0;pkg:generic/python/blinker@1.7.0;Pallets;https://blinker.readthedocs.io/;https://github.com/pallets-eco/blinker/;Fast, simple object-to-object and broadcast signaling.;MIT;python/flask@3.0.2;;b50b6364-eae4-44b0-8993-77ffaa620a41;Not yet defined;Supported
library;boost/boost;1.84.0;pkg:generic/boost/boost@1.84.0;Boost C++ Libraries;https://www.boost.org/;https://github.com/boostorg/boost;Provides free peer-reviewed portable C++ source libraries. The emphasis is on libraries which work well with the C++ Standard Library. One goal is to establish 'existing practice' and provide reference implementations so that the Boost libraries are suitable for eventual standardization. Some of the libraries have already been proposed for inclusion in the C++ Standards Committee's upcoming C++ Standard Library Technical Report.;BSL-1.0 & MIT & Python-2.0;"but@v1.2.2 ; mongodb@4.4.29 ; qsboost-core@git ; qsboost-hal@git ; qsboost-instrument-configuration@git";;8eb8cf8a-16be-4074-b5a7-dedacae454fc;Not yet defined;Supported
library;brotli;1.1.0;pkg:generic/brotli@1.1.0;Google;https://github.com/google/brotli;https://github.com/google/brotli;Brotli is a generic-purpose lossless compression algorithm that it is similar in speed to deflate but offers more dense compression.;MIT;"nodejs@20.18.2 ; node.js@20.18.2";;4e633ecf-4ff1-4aa6-b581-9924b5c06639;Not yet defined;Supported
