Type;Name;Version;purl;Supplier;Website;Source;Description;Licenses;Direct Dependency of;SHA-512 Hash;BomRef
library;abbrev;2.0.0;pkg:npm/abbrev@2.0.0;;https://www.npmjs.com/package/abbrev;https://registry.npmjs.org/abbrev/-/abbrev-2.0.0.tgz;;ISC;;634456606af17b7bfa28da1fc4489350ce2bd47cf9ec6170a30b2e0a5e2473193a9a05ea570dc0c910faf8b1d9e61a547f63021200ce389a5d2b31bcfdac3894;f4d4c85a-9962-4b82-8af5-780796a04fdd
library;abort-controller;3.0.0;pkg:npm/abort-controller@3.0.0;;https://www.npmjs.com/package/abort-controller;https://registry.npmjs.org/abort-controller/-/abort-controller-3.0.0.tgz;;MIT;;d3eda7957e4fa6de8e4acf748b76c5999f90c9837b7cd78a762373a536223e32b6a433fd47b1cd96525461a4b2395dd3d82e82adf470acf567c6d78a0861688e;5f0a26e7-6e9a-4a65-8dce-6c255c4bd566
library;acorn;7.4.1;pkg:npm/acorn@7.4.1;;https://www.npmjs.com/package/acorn;https://registry.npmjs.org/acorn/-/acorn-7.4.1.tgz;;MIT;;77d03557e74a3423bf24d30d44a804873126c60ecca6ebe4285c9f031b6fa7a4b7eec5a6ac81f67a9c296f54779cbf03b946dec75ad3289d723eb47b951e5f34;2521c8e2-adf3-4cba-a82f-1fb06d453fdc
library;acorn;8.16.0;pkg:npm/acorn@8.16.0;;https://www.npmjs.com/package/acorn;https://registry.npmjs.org/acorn/-/acorn-8.16.0.tgz;;MIT;;10e6e3bd973b84cd812cf851b89aba5a35d9e672c656115444d89fdbe6df4614638e897b108e00d19d9aba0cb4b824ec92c30af404fa57009f0edca9ec948ae2;84bce265-38e2-49f6-a35e-236b700d3eb3
library;acorn-jsx;5.3.2;pkg:npm/acorn-jsx@5.3.2;;https://www.npmjs.com/package/acorn-jsx;https://registry.npmjs.org/acorn-jsx/-/acorn-jsx-5.3.2.tgz;;MIT;;8ba46c329b789ea32111d5fd2d835c6b498a3f6a94cc3787839c440ae06fb6d466e221cfac3d629cb0aab358d2b4f2fc1f3fcfa809dffa61dedf7dcd16bd80e7;5151ddc2-c3e8-4d40-b437-f95ff92ba827
library;@adobe/css-tools;4.4.4;pkg:npm/%40adobe/css-tools@4.4.4;@adobe;https://www.npmjs.com/package/@adobe/css-tools;https://registry.npmjs.org/@adobe/css-tools/-/css-tools-4.4.4.tgz;;MIT;;f71fd32b707906b692da81a209da44dad14ac52f6e2eb923d13e93f69e93e25cac693695c376fdf25e94bca6b81655b93a637203cd8e876cb071e96ce8cc152e;88566f80-2d91-4c6b-9527-7fd31a627484
library;agent-base;7.1.4;pkg:npm/agent-base@7.1.4;;https://www.npmjs.com/package/agent-base;https://registry.npmjs.org/agent-base/-/agent-base-7.1.4.tgz;;MIT;;5965cca165e6bd4ed814e99c1fa2dda6cecc6325dd47f902f7c7f9872281be0a7d424690da9d65b9a94148ec1d18a5286501e4bcab8a80fda407910fa40d58cc;4b81dbef-22e3-4444-ab7f-fe9c9e4e7db2
library;ajv;6.14.0;pkg:npm/ajv@6.14.0;;https://www.npmjs.com/package/ajv;https://registry.npmjs.org/ajv/-/ajv-6.14.0.tgz;;MIT;;59da5f0b076a9498609b8d6a289358fc563a38dea97e01659785f20467fc668dc82ce036fd5a6037c355ae01847acad9a3a133452f94e86cabe767d806dd49e0;60694bb5-7363-4181-8204-4471b87c352e
library;alien-signals;1.0.13;pkg:npm/alien-signals@1.0.13;;https://www.npmjs.com/package/alien-signals;https://registry.npmjs.org/alien-signals/-/alien-signals-1.0.13.tgz;;MIT;;ab09e377e2a9a0904706827b6fda9310e63abcf43eb243a547e43866663642aea7c62b24f4bb4727155b7628f7cb05f436ff64049c2cb49749cbc958458aad27;59aa5715-418c-4152-b573-00dae9179bf7
library;alien-signals;3.1.2;pkg:npm/alien-signals@3.1.2;;https://www.npmjs.com/package/alien-signals;https://registry.npmjs.org/alien-signals/-/alien-signals-3.1.2.tgz;;MIT;;5e320a541312911a4a222cc9da24e8540d0160de28b8fd73ccb83c5f42900f7d1889816086f5698f275155145a5a6497fab13c169a6cf5f558290f924c528377;d1ca0810-7940-4859-b511-1cffefa3526d
library;@ampproject/remapping;2.3.0;pkg:npm/%40ampproject/remapping@2.3.0;@ampproject;https://www.npmjs.com/package/@ampproject/remapping;https://registry.npmjs.org/@ampproject/remapping/-/remapping-2.3.0.tgz;;Apache-2.0;;7bd3a7cfea9c3738606be5f901bfce682e5b5dd16a794f53ae9d309bcb276b412e9023df7fbfbd659d450b85e804688719e673bb8804f9087ec50f62a26831a9;904a6bc9-b59f-4977-a57d-dfec7771c173
